Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.unicom.json	63350	-	0	0	0	0	0	0	14	61	0	0	0	0	0	0	0	2	0	0	236	240	0	0	0	7	0	2
fsh-generated/resources/AdministrableProductDefinition-Agen-5mg-Tablet-EE-APD.json	1122	5	1	0	0	1	0	0	1	89	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-CanifugCremolum-100mg-Pessary-EE-APD.json	1155	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-CanifugCremolum-10mg1g-Cream-EE-APD.json	1150	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-Cefuroxime-MIP-1500mg-EE-APD.json	1172	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-001-Agen5mg-EE-FullProduct.json	19622	16	0	0	0	0	0	0	2	436	0	0	0	0	0	0	0	0	0	0	92	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-002-Agen10mg-EE-FullProduct.json	19731	6	0	0	0	0	0	0	3	81	0	0	0	0	0	0	0	1	0	0	89	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-003-CefuroximStragen-1-5g-Powder-SE-FullProduct.json	17056	7	0	0	0	0	0	0	2	77	0	0	0	0	0	0	0	0	0	0	74	74	0	0	0	0	0	1
fsh-generated/resources/Bundle-004-Cefuroxime-MIP-1500mg-EE-FullProduct.json	18621	5	0	0	0	0	0	0	2	92	0	0	0	0	0	0	0	0	0	0	74	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-005-CanifugCremolum-EE-FullProduct.json	20179	7	1	0	0	0	0	0	3	100	0	0	0	0	0	0	0	0	0	0	86	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-006-Yaz-002mg3mg-tablet-SE-FullProduct.json	26355	6	0	0	0	0	0	0	3	116	0	0	0	0	0	0	0	0	0	0	102	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-007-Jangee-002mg-3mg-Film-coated-tablet-EE-FullProduct.json	19464	7	0	0	0	0	0	0	3	84	0	0	0	0	0	0	0	0	0	0	76	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-008-Jangee-003mg-3mg-Film-coated-tablet-EE-FullProduct.json	19788	7	0	0	0	0	0	0	2	83	0	0	0	0	0	0	0	0	0	0	76	27	0	0	0	0	0	1
fsh-generated/resources/Bundle-009-Paracetamol-Kabi10mg-1ml-EE-FullProduct.json	24897	8	0	0	0	0	0	0	4	114	0	0	0	0	0	0	0	0	0	0	101	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-010-Clexane-60mg-06ml-EE-FullProduct.json	14882	6	0	0	0	0	0	0	1	68	0	0	0	0	0	0	0	0	0	0	63	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-011-Betaklav500-125-EE-FullProduct.json	26453	5	0	0	0	0	0	0	3	70	0	0	0	0	0	0	0	0	0	0	102	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-012-Panodil-500mg-SolutionInSachet-SE-FullProduct.json	15163	5	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	65	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-013-LantusSolostar-EE-FullProduct.json	14693	5	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	74	22	0	0	0	0	0	1
fsh-generated/resources/Bundle-014-CanestenKombi-FI-FullProduct.json	19962	7	0	0	0	0	0	0	3	94	0	0	0	0	0	0	0	0	0	0	84	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-015-CopaliaHCT-EE-FullProduct.json	24843	8	0	0	0	0	0	0	3	110	0	0	0	0	0	0	0	1	0	0	96	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-016-Lodipin-10mg-Capsule-GR-FullProduct.json	20909	6	0	0	0	0	0	0	2	84	0	0	0	0	0	0	0	0	0	0	81	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLHipres-10mg-Tablet-EE-FullProduct.json	20438	7	1	0	0	0	0	0	1	86	0	0	0	0	0	0	0	0	0	0	78	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLHipres-5mg-Tablet-EE-FullProduct.json	20409	7	0	0	0	0	0	0	2	71	0	0	0	0	0	0	0	0	0	0	78	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaccord-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20319	6	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	84	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaccord-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	24626	8	0	0	0	0	0	0	2	62	0	0	0	0	0	0	0	0	0	0	95	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaurobindo-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16942	5	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	68	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLbluefish-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16796	6	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	68	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLbluefish-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21119	7	0	0	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	83	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLjubilant-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16622	6	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	68	22	0	0	0	0	0	1
fsh-generated/resources/Bundle-AMLjubilant-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16463	6	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	68	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLkrka-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21143	6	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	82	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLkrka-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21173	6	0	0	0	0	0	0	2	70	0	0	0	0	0	0	0	0	0	0	82	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLmedvalley-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20590	7	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	1	0	0	83	39	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLmedvalley-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20563	6	1	0	0	0	1	0	1	50	0	0	0	0	0	0	0	0	0	0	82	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLsandoz-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	23396	7	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	92	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLsandoz-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	23305	6	0	0	0	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	91	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLteva-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20279	6	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	80	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLteva-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20250	7	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	80	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLvitabalans-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21096	6	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	81	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLvitabalans-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21125	6	0	0	0	0	0	0	1	49	0	0	0	0	0	0	0	0	0	0	90	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-Amlodistad-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21715	7	0	0	0	0	0	0	1	49	0	0	0	0	0	0	0	0	0	0	87	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-Amlodistad-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21627	6	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	84	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-Norvasc-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16703	6	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	74	22	0	0	0	0	0	1
fsh-generated/resources/Bundle-Norvasc-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16678	7	1	0	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	0	68	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ATC-Human-EMA.json	773616	191	5	0	1	0	0	0	46	675	0	0	6	0	0	0	0	7	0	0	4016	3481	0	0	1	127	0	4
