URL,Version,Status,OIDs,Name,Title,Descriptino,Used
https://spor.ema.europa.eu/v1/lists/100000000002,0.1.0,draft,,Country_EMA_CS,Country EMA,"Country codes by EMA. Based on ISO 3166-1-2, recoded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/100000000004,0.1.0,draft,,Domain_EMA_CS,Domain EMA,"Domain of the medicinal product (human, veterinary, both)",
https://spor.ema.europa.eu/v1/lists/100000072049,0.1.0,draft,,RegulatoryStatus_EMA_CS,Regulatory Entitlement Status EMA SPOR,"Regulatory Entitlement Status EMA SPOR",
https://spor.ema.europa.eu/v1/lists/100000072051,0.1.0,draft,,LegalStatusForTheSupply_EMA_CS,Legal Status for the Supply EMA,"Legal status of supply. EMA SPOR RMS list.",
https://spor.ema.europa.eu/v1/lists/100000072052,0.1.0,draft,,Marketing_Status_EMA_CS,Marketing Status EMA,"Marketing status of the product in given country. EMA SPOR RMS codes.",
https://spor.ema.europa.eu/v1/lists/100000072057,0.1.0,draft,,Language_EMA_CS,Language EMA,"Language codes by EMA. Based on BCP-47, recoded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/100000073345,0.1.0,draft,,Routes_And_Methods_Of_Administration_EMA_CS,Routes and Methods of Administration EMA,"Routes and methods of medication administration. Based on EDQM, re-coded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/100000073346,0.1.0,draft,,Packaging_EMA_CS,Packaging EMA SPOR,"Package types, including closures and administration devices. Based on EDQM, recoded with EMA SPOR RMS codes.",
https://spor.ema.europa.eu/v1/lists/100000093533,0.1.0,draft,,ATC_Human_EMA,ATC Human EMA,"ATC classification recoded with EMA SPOR RMS codes. Flat list, WHO ATC codes provided in description field for easier use.",
https://spor.ema.europa.eu/v1/lists/100000110633,0.1.0,draft,,UnitOfMeasurement_EMA_CS,Unit of Measurement EMA,"Unit of Measurement. Based on UCUM. Re-coded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/200000000004,0.1.0,draft,,PharmaceuticalDoseForm_EMA_CS,Pharmaceutical Dose Form EMA,"Pharmaceutical dose form. Based on EDQM, re-coded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/200000000006,0.1.0,draft,,CombinedPharmaceuticalDoseForm_EMA_CS,Combined Pharmaceutical Dose Form EMA,"Combined Pharmaceutical Dose Form. Based on EDQM. Re-coded with RMS codes. Used only for authorised dose form.",
https://spor.ema.europa.eu/v1/lists/200000000007,0.1.0,draft,,CombinedTerm_EMA_CS,Combined Term EMA,"Combined Term. Based on EDQM. Re-coded with RMS codes. Only used for authorised dose form.",
https://spor.ema.europa.eu/v1/lists/200000000008,0.1.0,draft,,CombinationPackage_EMA_CS,Combination Package EMA,"Dose forms for combination packages. Based on EDQM. Re-coded with RMS codes. Only used for authorised dose form.",
https://spor.ema.europa.eu/v1/lists/200000000014,0.1.0,draft,,UnitOfPresentation_EMA_CS,Unit of Presentation EMA,"Unit of presentation list from EMA SPOR. List id 200000000014. Content based on EDQM, re-coded with RMS codes.",
https://spor.ema.europa.eu/v1/lists/200000003199,0.1.0,draft,,Material_EMA_CS,Material EMA,"Package material. EMA SPOR RMS list. Hierarchical.",
https://spor.ema.europa.eu/v1/lists/200000005003,0.1.0,draft,,RecordStatus_EMA_CS,Record Status EMA SPOR,"Record Entitlement Status EMA SPOR",
https://spor.ema.europa.eu/v2/SubstanceDefinition,0.1.0,draft,,Substance_SMS_CS,Substances EMA SPOR SMS,"UNICOM PPL substances from EMA SPOR SMS",
