"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CrossBorderProduct2","CrossBorderProduct2","","","",0,*,"","","","null {[]} {[]}
","DRAFT: Medicinal Product 2","DRAFT. Crossborder eP/eD/PS medicinal product as a implementation-agnostic logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"CrossBorderProduct2.medicinalProductIdentifier","CrossBorderProduct2.medicinalProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","MPID or national identifier","MPID or national identifier","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.medicinalProductIdentifier",0,*,"",""
"CrossBorderProduct2.packagedProductIdentifier","CrossBorderProduct2.packagedProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","PCID or national","PCID or national","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.packagedProductIdentifier",0,*,"",""
"CrossBorderProduct2.pharmaceuticalProductIdentifier","CrossBorderProduct2.pharmaceuticalProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","PhPID","PhPID","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.pharmaceuticalProductIdentifier",0,*,"",""
"CrossBorderProduct2.atc","CrossBorderProduct2.atc","","","",1,1,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","ATC code","ATC code","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.atc",1,1,"",""
"CrossBorderProduct2.packSize","CrossBorderProduct2.packSize","","","",1,*,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/PQ]]} {[]}
","Overall amount of product (100ml; 20 tablets; 1 creme & 6 pessaries)","Overall amount of product (100ml; 20 tablets; 1 creme & 6 pessaries)","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.packSize",1,*,"",""
"CrossBorderProduct2.name","CrossBorderProduct2.name","","","",0,*,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Name of the product (full name, invented name, other)","Name of the product (full name, invented name, other)","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.name",0,*,"",""
"CrossBorderProduct2.authorisedDoseForm","CrossBorderProduct2.authorisedDoseForm","","","",1,1,"","","","Element {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Authorised/Combined dose form","Authorised/Combined dose form","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.authorisedDoseForm",1,1,"",""
"CrossBorderProduct2.manufacturedItem","CrossBorderProduct2.manufacturedItem","","","",1,*,"","","","BackboneElement {[CanonicalType[https://hl7-eu.github.io/unicom-ig/branches/mpd-r5/StructureDefinition/Class]]} {[]}
","Manufactured item if the prescription contains more than one type of items","Manufactured item if the prescription contains more than one type of items","","","","","","","","","",,,,,"",,,,"CrossBorderProduct2.manufacturedItem",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CrossBorderProduct2.manufacturedItem.id","CrossBorderProduct2.manufacturedItem.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
