"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicationModel","MedicationModel","","","",0,*,"","","","null {[]} {[]}
","Medication for clinical workflows","DRAFT. eP/eD/PS product","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"MedicationModel.medicinalProductIdentifier","MedicationModel.medicinalProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/II]]} {[]}
","MPID or national identifier","MPID or national identifier","","","","","","","","","",,,,,"",,,,"MedicationModel.medicinalProductIdentifier",0,*,"",""
"MedicationModel.packagedProductIdentifier","MedicationModel.packagedProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/II]]} {[]}
","PCID or national","PCID or national","","","","","","","","","",,,,,"",,,,"MedicationModel.packagedProductIdentifier",0,*,"",""
"MedicationModel.pharmaceuticalProductIdentifier","MedicationModel.pharmaceuticalProductIdentifier","","","",0,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/II]]} {[]}
","PhPID","PhPID","","","","","","","","","",,,,,"",,,,"MedicationModel.pharmaceuticalProductIdentifier",0,*,"",""
"MedicationModel.atc","MedicationModel.atc","","","",1,1,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/CD]]} {[]}
","ATC code","ATC code","","","","","","","","","",,,,,"",,,,"MedicationModel.atc",1,1,"",""
"MedicationModel.classification","MedicationModel.classification","","","",0,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/CD]]} {[]}
","Classification","Classification","","","","","","","","","",,,,,"",,,,"MedicationModel.classification",0,*,"",""
"MedicationModel.packSize","MedicationModel.packSize","","","",1,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/PQ]]} {[]}
","Overall amount of product (100ml; 20 tablets; 1 creme & 6 pessaries)","Overall amount of product (100ml; 20 tablets; 1 creme & 6 pessaries)","","","","","","","","","",,,,,"",,,,"MedicationModel.packSize",1,*,"",""
"MedicationModel.name","MedicationModel.name","","","",0,*,"","","","Element {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/ST]]} {[]}
","Name of the product (full name, invented name, other)","Name of the product (full name, invented name, other)","","","","","","","","","",,,,,"",,,,"MedicationModel.name",0,*,"",""
"MedicationModel.doseForm","MedicationModel.doseForm","","","",1,*,"","","","BackboneElement {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/Class]]} {[]}
","The intended or existing dose form for the product","The intended or existing dose form for the product","","","","","","","","","",,,,,"",,,,"MedicationModel.doseForm",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationModel.doseForm.id","MedicationModel.doseForm.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
