Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.unicom.json	63350	-	0	0	0	0	0	0	7	117	0	0	0	0	0	0	0	2	0	0	294	278	0	0	0	6	0	1
fsh-generated/resources/AdministrableProductDefinition-Agen-5mg-Tablet-EE-APD.json	1122	6	1	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-CanifugCremolum-100mg-Pessary-EE-APD.json	1155	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-CanifugCremolum-10mg1g-Cream-EE-APD.json	1150	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-Cefuroxime-MIP-1500mg-EE-APD.json	1172	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-001-Agen5mg-EE-FullProduct.json	19622	29	0	0	0	0	0	0	1	252	0	0	0	0	0	0	0	0	0	0	89	45	0	0	0	0	0	0
fsh-generated/resources/Bundle-002-Agen10mg-EE-FullProduct.json	19731	22	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	90	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-003-CefuroximStragen-1-5g-Powder-SE-FullProduct.json	17056	18	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	77	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-004-Cefuroxime-MIP-1500mg-EE-FullProduct.json	18621	20	1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	82	26	0	0	0	0	0	1
fsh-generated/resources/Bundle-005-CanifugCremolum-EE-FullProduct.json	20179	21	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	91	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-006-Yaz-002mg3mg-tablet-SE-FullProduct.json	26355	26	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	1	0	0	110	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-007-Jangee-002mg-3mg-Film-coated-tablet-EE-FullProduct.json	19464	20	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	83	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-008-Jangee-003mg-3mg-Film-coated-tablet-EE-FullProduct.json	19788	19	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	81	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-009-Paracetamol-Kabi10mg-1ml-EE-FullProduct.json	24897	30	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	133	50	0	0	0	0	0	0
fsh-generated/resources/Bundle-010-Clexane-60mg-06ml-EE-FullProduct.json	14882	16	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-011-Betaklav500-125-EE-FullProduct.json	26453	26	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	129	55	0	0	0	0	0	0
fsh-generated/resources/Bundle-012-Panodil-500mg-SolutionInSachet-SE-FullProduct.json	15163	15	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	69	36	0	0	0	0	0	1
fsh-generated/resources/Bundle-013-LantusSolostar-EE-FullProduct.json	14693	16	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	1	0	0	65	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-014-CanestenKombi-FI-FullProduct.json	19962	21	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	102	46	0	0	0	0	0	0
fsh-generated/resources/Bundle-015-CopaliaHCT-EE-FullProduct.json	24843	25	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	103	51	0	0	0	0	0	0
fsh-generated/resources/Bundle-016-Lodipin-10mg-Capsule-GR-FullProduct.json	20909	25	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	87	43	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLHipres-10mg-Tablet-EE-FullProduct.json	20438	23	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	85	40	0	0	0	0	0	1
fsh-generated/resources/Bundle-AMLHipres-5mg-Tablet-EE-FullProduct.json	20409	20	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	90	40	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaccord-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20319	20	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	85	40	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaccord-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	24626	24	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	101	48	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLaurobindo-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16942	18	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	73	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLbluefish-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16796	17	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	72	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLbluefish-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21119	20	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	87	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLjubilant-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16622	18	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	72	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLjubilant-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	16463	17	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	72	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLkrka-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21143	21	1	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	87	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLkrka-5mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	21173	21	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	87	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-AMLmedvalley-10mg-Tablet-SE-IS-MedicinalProductDefinition-BBDL.json	20590	21	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	86	30	0	0	0	0	0	0
